iter	Passed	Remaining
0	1	386
1	2	276
2	3	232
3	4	231
4	5	209
5	6	194
6	6	184
7	7	177
8	8	171
9	8	168
10	9	169
11	10	169
12	11	167
13	12	163
14	12	160
15	13	156
16	14	153
17	15	153
18	16	153
19	16	152
20	17	150
21	18	148
22	19	146
23	19	144
24	20	142
25	20	140
26	21	138
27	22	137
28	23	136
29	24	136
30	24	135
31	25	133
32	26	132
33	26	130
34	27	129
35	28	127
36	29	128
37	29	126
38	30	125
39	31	124
40	32	124
41	32	123
42	33	122
43	34	122
44	35	120
45	35	119
46	36	119
47	37	117
48	37	116
49	38	115
50	39	114
51	39	113
52	40	112
53	41	111
54	41	109
55	42	109
56	43	108
57	43	107
58	44	106
59	45	105
60	45	104
61	46	103
62	47	102
63	47	101
64	48	100
65	49	99
66	50	99
67	50	98
68	51	97
69	51	96
70	52	95
71	53	94
72	54	95
73	55	94
74	56	93
75	56	92
76	57	91
77	58	91
78	59	90
79	59	89
80	60	88
81	61	88
82	62	87
83	62	86
84	63	86
85	64	85
86	65	85
87	66	84
88	66	83
89	67	82
90	68	81
91	68	80
92	69	80
93	70	79
94	71	78
95	72	78
96	73	77
97	73	76
98	74	76
99	75	75
100	76	74
101	76	73
102	77	73
103	78	72
104	79	71
105	80	71
106	81	70
107	81	69
108	82	68
109	83	68
110	84	67
111	85	66
112	85	66
113	86	65
114	87	64
115	88	63
116	89	63
117	89	62
118	90	61
119	91	60
120	91	59
121	92	59
122	93	58
123	95	58
124	96	57
125	96	56
126	97	56
127	98	55
128	99	54
129	99	53
130	100	52
131	101	52
132	102	51
133	103	50
134	103	49
135	104	49
136	105	48
137	106	47
138	107	47
139	108	46
140	108	45
141	109	44
142	110	44
143	111	43
144	111	42
145	113	41
146	114	41
147	114	40
148	115	39
149	116	38
150	116	37
151	117	37
152	118	36
153	119	35
154	120	34
155	121	34
156	122	33
157	122	32
158	124	32
159	124	31
160	126	30
161	126	29
162	127	28
163	128	28
164	128	27
165	129	26
166	130	25
167	130	24
168	131	24
169	132	23
170	133	22
171	134	21
172	135	21
173	135	20
174	136	19
175	137	18
176	137	17
177	138	17
178	139	16
179	139	15
180	141	14
181	141	14
182	143	13
183	144	12
184	144	11
185	145	10
186	146	10
187	146	9
188	147	8
189	147	7
190	148	7
191	149	6
192	149	5
193	150	4
194	151	3
195	151	3
196	152	2
197	152	1
198	153	0
199	154	0
