id,depth,dip_angle,dip_azimuth,feature_type,auto_picked
1,7390.006537,75.495927,300.006834,Bedding,1
2,7390.690127,14.600220,89.930451,Bedding,1
3,7391.372963,39.497226,170.006707,Bedding,1
4,7392.056918,14.603927,169.886849,Bedding,1
5,7392.739854,39.563595,349.984576,Bedding,1
6,7393.423125,60.710970,280.016014,Bedding,1
7,7394.106560,69.129389,9.971600,Bedding,1
8,7394.790551,69.141271,299.991644,Bedding,1
9,7395.473708,39.555512,109.996376,Bedding,1
10,7396.157278,10.055488,70.337444,Bedding,1
11,7396.839901,50.536727,69.990932,Bedding,1
12,7397.523837,69.143757,40.041948,Bedding,1
13,7398.206605,80.000843,289.994832,Bedding,1
14,7398.891104,69.145848,310.007503,Bedding,1
15,7399.573228,6.878008,90.085999,Bedding,1
16,7400.256143,69.148450,170.007217,Bedding,1
17,7400.940317,4.712530,240.208253,Bedding,1
18,7401.624308,6.917681,269.816800,Bedding,1
19,7402.305238,29.375680,160.035667,Bedding,1
20,7402.988428,2.207218,249.870207,Bedding,1
21,7403.673370,10.063566,50.104700,Bedding,1
22,7404.355943,1.617833,198.531131,Bedding,1
23,7405.038670,20.903451,129.993745,Bedding,1
24,7405.724018,29.353820,160.106120,Bedding,1
25,7406.406757,75.468412,190.010082,Bedding,1
26,7407.090726,75.472218,320.001782,Bedding,1
27,7407.773502,69.138260,210.019051,Bedding,1
28,7408.457958,9.996586,359.541602,Bedding,1
29,7409.141917,2.254388,50.348737,Bedding,1
30,7409.825817,0.626086,115.488607,Bedding,1
31,7410.506389,60.727088,269.970439,Bedding,1
32,7411.189808,39.464042,169.971524,Bedding,1
33,7411.873474,4.836480,139.409540,Bedding,1
34,7412.557265,69.138701,330.020132,Bedding,1
35,7413.239799,80.001733,229.993679,Bedding,1
36,7413.923011,69.141566,359.965910,Bedding,1
37,7414.608674,4.612548,209.933394,Bedding,1
38,7415.289818,6.890270,30.069606,Bedding,1
39,7415.972665,75.469235,99.986664,Bedding,1
40,7416.659295,0.332316,69.927069,Bedding,1
41,7417.340367,69.139306,90.000209,Bedding,1
42,7418.023557,50.507041,250.001787,Bedding,1
